id,name,identity_label,category,status,texture_status,glb,glb_size_x_tiles,glb_size_y_tiles,glb_size_z_tiles,footprint_x_tiles,footprint_z_tiles,animation_status,native_source
0,prop_model_000,source geometry compact multi-surface mesh model 0,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0000_prop_model_000/model.glb,0.5,0.5,0.5,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_000.nsbmd
1,prop_model_001,source geometry tall or long surface model 1,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0001_prop_model_001/model.glb,0.1875,0.3025665283203125,0.081695556640625,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_001.nsbmd
2,prop_model_002,source geometry compact multi-surface mesh model 2,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0002_prop_model_002/model.glb,0.5,0.433013916015625,0.25,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_002.nsbmd
3,prop_model_003,source geometry multi-surface mesh model 3,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0003_prop_model_003/model.glb,0.535919375,0.37719739621889414,0.4686891271140596,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_003.nsbmd
4,prop_model_004,source geometry multi-surface mesh model 4,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0004_prop_model_004/model.glb,0.6456146240234375,0.490234375,0.453125,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_004.nsbmd
5,prop_model_005,source geometry multi-surface mesh model 5,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0005_prop_model_005/model.glb,0.5218200108167095,0.39851374999999994,0.3437499620936555,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_005.nsbmd
6,prop_model_006,source geometry tall or long surface model 6,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0006_prop_model_006/model.glb,0.125,0.2890625,0.0521240234375,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_006.nsbmd
7,prop_model_007,source geometry compact multi-surface mesh model 7,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0007_prop_model_007/model.glb,0.2479858596677492,0.24432375000000003,0.24247743637584313,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_007.nsbmd
8,prop_model_008,source geometry multi-surface mesh model 8,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0008_prop_model_008/model.glb,0.4673004150390625,0.30859375,0.25,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_008.nsbmd
9,prop_model_009,source geometry multi-surface mesh model 9,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0009_prop_model_009/model.glb,0.32695,0.3957060881131283,0.24824518364680076,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_009.nsbmd
10,prop_model_010,source geometry multi-surface mesh model 10,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0010_prop_model_010/model.glb,0.3160093588275404,0.436370625,0.261321886976362,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_010.nsbmd
11,prop_model_011,source geometry multi-surface mesh model 11,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0011_prop_model_011/model.glb,0.27246103278688527,0.39570631514685795,0.33508312500000004,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_011.nsbmd
12,prop_model_012,source geometry multi-surface mesh model 12,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0012_prop_model_012/model.glb,0.3125,0.371124267578125,0.197265625,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_012.nsbmd
13,prop_model_013,source geometry multi-surface mesh model 13,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0013_prop_model_013/model.glb,0.3040924072265625,0.3460845947265625,0.271484375,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_013.nsbmd
14,prop_model_014,source geometry tall or long surface model 14,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0014_prop_model_014/model.glb,0.1611326059936473,0.35644485568291673,0.11048875,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_014.nsbmd
15,prop_model_015,source geometry compact multi-surface mesh model 15,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0015_prop_model_015/model.glb,0.25,0.2993316650390625,0.5899658203125,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_015.nsbmd
16,prop_model_016,source geometry tall or long surface model 16,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0016_prop_model_016/model.glb,0.134246875,0.4406282120226187,0.13423161620538757,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_016.nsbmd
17,prop_model_017,source geometry multi-surface mesh model 17,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0017_prop_model_017/model.glb,0.55859375,0.453125,0.23828125,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_017.nsbmd
18,prop_model_018,source geometry multi-surface mesh model 18,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0018_prop_model_018/model.glb,0.5275269143187652,0.481460625,0.28540042246379105,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_018.nsbmd
19,prop_model_019,source geometry multi-surface mesh model 19,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0019_prop_model_019/model.glb,0.5275269143187652,0.481460625,0.28540042246379105,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_019.nsbmd
20,prop_model_020,source geometry multi-surface mesh model 20,source_geometry_prop,READY_GLB,EMBEDDED_TEXTURE_READY,furniture/0020_prop_model_020/model.glb,0.1673887571860817,0.25215125,0.13594042276853252,1,1,NATIVE_BINDINGS_METADATA_ONLY,res/field/props/models/prop_model_020.nsbmd
